Particle_ID,X_Coord,Y_Coord,Z_Coord
1592,2.97138e+04,2.93684e+04,1.66392e+01
1593,2.96992e+04,2.93246e+04,7.92749e+00
1594,2.94765e+04,2.93198e+04,1.79875e+01
1595,2.94765e+04,2.92961e+04,2.20844e+01
1596,2.96992e+04,2.93246e+04,7.79032e+00
1597,2.94765e+04,2.93756e+04,1.81695e+01
1598,2.97073e+04,2.93571e+04,1.48251e+01
1599,2.96957e+04,2.93635e+04,7.07480e+00
1600,2.96975e+04,2.93625e+04,8.90861e+00
1601,2.96987e+04,2.93618e+04,7.83726e+00
1602,2.97150e+04,2.93660e+04,6.61087e+00
1603,2.97099e+04,2.93617e+04,1.65133e+01
1604,2.94765e+04,2.93766e+04,1.89188e+01
1605,2.96992e+04,2.93246e+04,7.47265e+00
1606,2.94765e+04,2.93224e+04,1.55227e+01
1607,2.94765e+04,2.93148e+04,1.44402e+01
1608,2.96906e+04,2.93297e+04,9.10735e+00
1609,2.94765e+04,2.93881e+04,1.18440e+01
1610,2.94765e+04,2.93878e+04,1.19155e+01
1611,2.97130e+04,2.93670e+04,1.28335e+01
1612,2.94765e+04,2.94397e+04,3.26388e+01
1613,2.97126e+04,2.93664e+04,1.61247e+01
1614,2.96211e+04,2.91757e+04,1.54814e+01
1615,2.94765e+04,2.90766e+04,1.52928e+02
1616,2.95732e+04,2.90678e+04,2.12280e+01
1617,2.94765e+04,2.92711e+04,3.96853e+01
1618,2.94765e+04,2.91312e+04,1.68453e+02
1619,2.94765e+04,2.91318e+04,1.75652e+02
1620,2.94765e+04,2.91839e+04,6.75144e+01
1621,2.95733e+04,2.90679e+04,2.05389e+01
1622,2.95734e+04,2.90680e+04,2.06809e+01
1623,2.94765e+04,2.90762e+04,1.71895e+02
1624,2.94765e+04,2.91317e+04,1.76389e+02
1625,2.94765e+04,2.91312e+04,1.68267e+02
1626,2.94765e+04,2.91937e+04,2.04067e+01
1627,2.95735e+04,2.90682e+04,2.07223e+01
1628,2.95737e+04,2.90686e+04,2.08073e+01
1629,2.96236e+04,2.91001e+04,6.72314e+00
1630,2.94765e+04,2.91311e+04,1.68041e+02
1631,2.94765e+04,2.91312e+04,1.68469e+02
1632,2.95842e+04,2.90742e+04,7.27605e+00
1633,2.95739e+04,2.90688e+04,2.08051e+01
1634,2.95741e+04,2.90692e+04,2.09476e+01
1635,2.96132e+04,2.91060e+04,6.51341e+00
1636,2.94765e+04,2.91310e+04,1.70659e+02
1637,2.94765e+04,2.91312e+04,1.73007e+02
1638,2.96118e+04,2.91065e+04,6.52382e+00
1639,2.95743e+04,2.90696e+04,2.05747e+01
1640,2.95745e+04,2.90698e+04,1.99959e+01
1641,2.96103e+04,2.91079e+04,9.45096e+00
1642,2.94765e+04,2.91309e+04,1.80184e+02
1643,2.94765e+04,2.91296e+04,1.84873e+02
